Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type
"$865,212","Illinois Ave Nw, Washington, DC 20011",$2760/m Estimated Rental Value,4 bed,2 bath,"1,680 sqft.",Single-Family
,"Kennedy St Nw, Washington, DC 20011",*Rental Value Coming Soon,,1.5 bath,,Commercial
"$1,710,950","Mckinley St Nw, Washington, DC 20015",$43914/m Estimated Rental Value,3 bed,2.5 bath,"1,894 sqft.",Single-Family
,"Ridge Rd Se, Washington, DC 20019",*Rental Value Coming Soon,2 bed,1 bath,720 sqft.,Condo
"$379,674","33rd St Ne, Washington, DC 20019",$1420/m Estimated Rental Value,2 bed,1 bath,832 sqft.,Single-Family
,"Adams St Ne # 102, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$874,259","Eastern Ave Ne, Washington, DC 20011",$3260/m Estimated Rental Value,3 bed,2.5 bath,"1,682 sqft.",Single-Family
"$4,051,695","Wyoming Ave Nw, Washington, DC 20008",$7761/m Estimated Rental Value,,,,Commercial
"$1,148,598","29th St Nw, Washington, DC 20015",$4140/m Estimated Rental Value,4 bed,3.5 bath,"1,508 sqft.",Single-Family
"$523,913","Fort Lincoln Dr Ne, Washington, DC 20018",*Rental Value Coming Soon,,,,
"$264,386","Connecticut Ave Nw Apt..., Washington, DC 20008",$1680/m Estimated Rental Value,1 bed,1 bath,160 sqft.,Condo
"$701,824","I St Ne, Washington, DC 20002",$2320/m Estimated Rental Value,3 bed,1.5 bath,"1,310 sqft.",Single-Family
,"H St Ne # 849, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$589,343","Highwood Dr Se, Washington, DC 20020",$2140/m Estimated Rental Value,3 bed,1.5 bath,"1,600 sqft.",Single-Family
"$389,849","41st St Se, Washington, DC 20020",$2060/m Estimated Rental Value,3 bed,1.5 bath,"1,160 sqft.",Single-Family
"$3,634,096","Western Ave Nw, Washington, DC 20015",$6880/m Estimated Rental Value,,,,
"$507,656","Oglethorpe St Ne, Washington, DC 20011",$2250/m Estimated Rental Value,3 bed,1.5 bath,"1,123 sqft.",Single-Family
"$698,758","Longfellow St Nw, Washington, DC 20011",$2600/m Estimated Rental Value,,,,
"$335,636","Branch Ave Se, Washington, DC 20019",$2040/m Estimated Rental Value,3 bed,1 bath,992 sqft.,Single-Family
,"16th St Nw, Unit T02, Washington, DC 20036",*Rental Value Coming Soon,,,,
,"4th St Se, #e 302, Washington, DC 20024",*Rental Value Coming Soon,,,,
,"Rhode Island Ave Ne, U..., Washington, DC 20002",*Rental Value Coming Soon,,,,
,"Savannah St Se Apt 304, Washington, DC 20020",*Rental Value Coming Soon,,,,
"$445,401","Barnaby St Se, Washington, DC 20032",$1400/m Estimated Rental Value,4 bed,2.5 bath,"2,092 sqft.",Single-Family
"$583,300","Ord St Ne, Washington, DC 20019",$1920/m Estimated Rental Value,4 bed,2.5 bath,"2,888 sqft.",Single-Family
"$592,251","Highwood Pl Se, Washington, DC 20020",$2140/m Estimated Rental Value,3 bed,3.5 bath,"1,576 sqft.",Single-Family
,"Pennsylvania Ave Nw St..., Washington, DC 20004",*Rental Value Coming Soon,,,,
"$1,979,010","Sudbury Ln Nw, Washington, DC 20012",$11554/m Estimated Rental Value,5 bed,4 bath,"3,520 sqft.",Single-Family
,"12th St Nw Ste 700, Washington, DC 20005",*Rental Value Coming Soon,,,,
,"G St Ne, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$303,528","Edson Pl Ne, Washington, DC 20019",$1720/m Estimated Rental Value,4 bed,1.5 bath,"1,315 sqft.",Single-Family
"$197,601","Bowen Rd Se Apt 403, Washington, DC 20020",$1490/m Estimated Rental Value,2 bed,1 bath,930 sqft.,Condo
,"New Jersey Ave Nw Apt 809, Washington, DC 20001",*Rental Value Coming Soon,,,,
"$492,825","4th St Sw Apt S120, Washington, DC 20024",$2200/m Estimated Rental Value,,,,
,"15th St Nw Apt 610, Washington, DC 20009",*Rental Value Coming Soon,,,,
"$758,272","Alaska Ave Nw, Washington, DC 20012",$3140/m Estimated Rental Value,3 bed,2.5 bath,"1,768 sqft.",Single-Family
,"Livingston Rd Se Apt 202, Washington, DC 20032",*Rental Value Coming Soon,,,,
,"Southern Ave Se Apt 801, Washington, DC 20032",*Rental Value Coming Soon,,,,
,"Galloway St Ne # 549s, Washington, DC 20011",*Rental Value Coming Soon,,,,
,"Town Center Dr Se, Apt..., Washington, DC 20020",*Rental Value Coming Soon,,,,
"$646,000","N Capitol St Ne, Washington, DC 20011",$2420/m Estimated Rental Value,3 bed,2 bath,"1,240 sqft.",Single-Family
,"23rd St Se Apt 252b, Washington, DC 20020",*Rental Value Coming Soon,,,,
,"Terrace Rd Se Apt B610, Washington, DC 20020",*Rental Value Coming Soon,,,,
,"Maine Ave Sw, # E701, Washington, DC 20024",*Rental Value Coming Soon,,,,
"$814,227","16th St Se, Washington, DC 20003",$2720/m Estimated Rental Value,3 bed,1 bath,960 sqft.,Single-Family
"$1,212,241","Corcoran St Nw, Washington, DC 20009",$3130/m Estimated Rental Value,3 bed,1 bath,"1,708 sqft.",Single-Family
"$696,308","18th St Ne, Washington, DC 20002",$1750/m Estimated Rental Value,3 bed,2 bath,"1,368 sqft.",Single-Family
"$304,004","Newcomb St Se, Washington, DC 20032",$1780/m Estimated Rental Value,2 bed,1.5 bath,"1,232 sqft.",Single-Family
,"Connecticut Ave Nw # 134, Washington, DC 20015",*Rental Value Coming Soon,,,,
"$667,103","Otis St Ne, Washington, DC 20018",$2890/m Estimated Rental Value,4 bed,2.5 bath,"1,656 sqft.",Single-Family
"$746,907","Kansas Ave Nw, Washington, DC 20011",$2640/m Estimated Rental Value,3 bed,1.5 bath,"1,484 sqft.",Single-Family
,"E St Se # 321, Washington, DC 20003",*Rental Value Coming Soon,,,,
"$610,981","Montana Ave Ne, Washington, DC 20018",$2680/m Estimated Rental Value,3 bed,1.5 bath,"1,375 sqft.",Single-Family
"$762,971","9th St Nw, Washington, DC 20011",$2380/m Estimated Rental Value,4 bed,2.5 bath,"1,836 sqft.",Single-Family
,"New York Ave Ne # 609, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$637,899","Sherman Ave Nw, Washington, DC 20001",$2620/m Estimated Rental Value,3 bed,2 bath,"1,080 sqft.",Single-Family
"$290,880","4th St Ne Apt 106, Washington, DC 20002",$1570/m Estimated Rental Value,1 bed,1 bath,,Condo
"$496,347","Oneida St Ne, Washington, DC 20011",$2260/m Estimated Rental Value,3 bed,1 bath,"1,152 sqft.",Single-Family
,"Connecticut Ave Nw Ste..., Washington, DC 20036",*Rental Value Coming Soon,,,,
,"Savannah St Se Apt 204, Washington, DC 20020",*Rental Value Coming Soon,,,,
"$1,626,373","Asbury Pl Nw, Washington, DC 20016",$43904/m Estimated Rental Value,4 bed,3 bath,"1,813 sqft.",Single-Family
"$3,870,076","Asbury Pl Nw, Washington, DC 20016",$5200/m Estimated Rental Value,4 bed,3 bath,"2,464 sqft.",Single-Family
,"Penn St Ne Apt 2, Washington, DC 20002",*Rental Value Coming Soon,,,,
,"Livingston Rd Se, Apt 13, Washington, DC 20032",*Rental Value Coming Soon,,,,
,"17th St Nw, Washington, DC 20036",*Rental Value Coming Soon,,2.5 bath,,Commercial
"$732,432","P St Nw, Washington, DC 20001",$2510/m Estimated Rental Value,4 bed,1 bath,"1,416 sqft.",Single-Family
"$605,855","5th St Nw, Washington, DC 20011",$2270/m Estimated Rental Value,3 bed,1 bath,"1,054 sqft.",Single-Family
"$948,000","R St Ne, Washington, DC 20002",$1980/m Estimated Rental Value,4 bed,2 bath,"1,836 sqft.",Multi-Family
"$551,000","Emerson St Nw, Washington, DC 20011",$3370/m Estimated Rental Value,,,,
"$378,000","R St Se, Washington, DC 20020",$1740/m Estimated Rental Value,,,,
"$267,000","17th Pl Se, Washington, DC 20020",$1740/m Estimated Rental Value,4 bed,4 bath,"2,720 sqft.",Multi-Family
"$489,000","17th Pl Se, Washington, DC 20020",$1740/m Estimated Rental Value,4 bed,4 bath,"2,720 sqft.",Multi-Family
"$354,000","17th St Se, Washington, DC 20020",$1740/m Estimated Rental Value,,,,
"$296,000","28th St Se, Washington, DC 20020",$1780/m Estimated Rental Value,,,,Multi-Family
"$543,000","3rd St Se, Washington, DC 20003",$5580/m Estimated Rental Value,,,,Multi-Family
"$408,000","Raum St Ne, Washington, DC 20002",$1740/m Estimated Rental Value,,,,
"$527,000","Peabody St Nw, Washington, DC 20011",$3260/m Estimated Rental Value,8 bed,4 bath,"3,180 sqft.",Multi-Family
"$785,913","Hillside Rd Se, Washington, DC 20019",$1660/m Estimated Rental Value,,,,
"$380,000","9th St Se, Washington, DC 20032",$2220/m Estimated Rental Value,,,,
"$636,000","T St Nw, Washington, DC 20001",$2860/m Estimated Rental Value,4 bed,2 bath,"1,985 sqft.",Multi-Family
"$264,238","New Hampshire Ave Nw A..., Washington, DC 20009",$1910/m Estimated Rental Value,,,,
,"New Jersey Ave Se # 1120, Washington, DC 20003",*Rental Value Coming Soon,,,,
"$461,962","Oakwood St Se, Washington, DC 20032",$1870/m Estimated Rental Value,2 bed,1 bath,"1,208 sqft.",Single-Family
"$687,445","Hamlin St Ne, Washington, DC 20017",$2500/m Estimated Rental Value,2 bed,1.5 bath,"1,324 sqft.",Single-Family
,"16th St Nw Apt 605, Washington, DC 20009",*Rental Value Coming Soon,,,,
"$1,185,977","Redwood Ter Nw, Washington, DC 20012",$3930/m Estimated Rental Value,4 bed,5 bath,"2,599 sqft.",Single-Family
"$751,275","Newton Pl Nw, Washington, DC 20010",$2500/m Estimated Rental Value,2 bed,1 bath,"1,320 sqft.",Single-Family
,"Mccollough Ct Nw Apt 401, Washington, DC 20001",*Rental Value Coming Soon,,,,
"$346,000","Connecticut Ave Nw, Washington, DC 20008",$2170/m Estimated Rental Value,,,,
,"Webster St Ne Apt 204, Washington, DC 20011",*Rental Value Coming Soon,,,,
"$1,200,677","Sycamore St Nw, Washington, DC 20012",$3800/m Estimated Rental Value,3 bed,4 bath,"2,263 sqft.",Single-Family
,"K St Ne # 110, Washington, DC 20002",*Rental Value Coming Soon,,,,
,"I St Ne, Ste 100, Washington, DC 20002",*Rental Value Coming Soon,,,,
,"15th St Nw Ste 900, Washington, DC 20005",*Rental Value Coming Soon,,,,
,"Mississippi Ave Se # 207, Washington, DC 20032",*Rental Value Coming Soon,,,,
,"Kenyon St Nw Apt 401, Washington, DC 20010",*Rental Value Coming Soon,,,,
"$349,491","Good Hope Rd Se, Washington, DC 20020",$1580/m Estimated Rental Value,3 bed,1 bath,"1,080 sqft.",Single-Family
,"17th St Nw Apt B1, Washington, DC 20036",*Rental Value Coming Soon,,,,
,"E St Se Apt 2, Washington, DC 20019",*Rental Value Coming Soon,,,,
,"Connecticut Ave Nw Ste..., Washington, DC 20015",*Rental Value Coming Soon,,,,
,"Savannah St Se, Apt 4, Washington, DC 20020",*Rental Value Coming Soon,,,,
"$887,440","S Dakota Ave Ne, Washington, DC 20018",$3770/m Estimated Rental Value,6 bed,2.5 bath,"3,280 sqft.",Single-Family
,"Chillum Pl Ne Apt G1, Washington, DC 20011",*Rental Value Coming Soon,,,,
"$305,684","Fort Dupont St Se, Washington, DC 20020",$1550/m Estimated Rental Value,2 bed,1 bath,832 sqft.,Single-Family
,"20th St Ne Apt 11, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$259,900","Cathedral Ave Nw Apt 108, Washington, DC 20016",$1770/m Estimated Rental Value,1 bed,1 bath,765 sqft.,Condo
"$344,714","Foote St Ne, Washington, DC 20019",$1720/m Estimated Rental Value,3 bed,1 bath,"1,000 sqft.",Single-Family
"$122,400","8th St Se 8, Washington, DC 20032",*Rental Value Coming Soon,2 bed,2 bath,,
,"Pennsylvania Ave Nw, Washington, DC 20006",*Rental Value Coming Soon,,,,
,"Pennsylvania Ave. Nw, Washington, DC 20006",*Rental Value Coming Soon,,,,
"$1,375,500","9th St Nw, Washington, DC 20012",$3140/m Estimated Rental Value,3 bed,3 bath,"1,518 sqft.",Single-Family
"$347,391","L St Nw Apt 520, Washington, DC 20037",$1980/m Estimated Rental Value,1 bed,1 bath,505 sqft.,Condo
"$283,000","27th St Se, Washington, DC 20020",$2180/m Estimated Rental Value,,,"5,238 sqft.",Commercial
,"N St Ne, Washington, DC 20002",*Rental Value Coming Soon,,,0 sqft.,
,"Pennsylvania Ave Nw, Washington, DC 20004",*Rental Value Coming Soon,,,0 sqft.,
,"New Jersey Ave Se, Washington, DC 20003",*Rental Value Coming Soon,,,0 sqft.,Condo
"$1,375,500","9th St Nw, Washington, DC 20012",$3140/m Estimated Rental Value,3 bed,2 bath,"1,518 sqft.",Single-Family
"$1,375,962","9th St Nw, Washington, DC 20012",$3140/m Estimated Rental Value,3 bed,2 bath,"1,518 sqft.",Single-Family
,"H St Nw, Washington, DC 20006",*Rental Value Coming Soon,,,,Commercial
"$347,391","L St Nw Apt 520, Washington, DC 20037",$1980/m Estimated Rental Value,1 bed,1 bath,,Condo
,"North St Ne, Washington, DC 20002",*Rental Value Coming Soon,,,,Townhome
"$283,000","27th St Se, Washington, DC 20020",$2180/m Estimated Rental Value,,,,
,"Buena Vista Terrace Se, Washington, DC 20020",*Rental Value Coming Soon,6 bed,3 bath,"3,800 sqft.",Multi-Family
"$307,384","Eads St Ne, Washington, DC 20019",$1720/m Estimated Rental Value,3 bed,2 bath,787 sqft.,Single-Family
"$179,585","Oakwood St Se Apt B5, Washington, DC 20032",$1230/m Estimated Rental Value,1 bed,1 bath,628 sqft.,Condo
"$442,208","Blaine St Ne, Washington, DC 20019",$1420/m Estimated Rental Value,3 bed,2 bath,960 sqft.,Townhome
"$486,455","Anacostia Rd Se, Washington, DC 20019",$1850/m Estimated Rental Value,4 bed,3 bath,"1,008 sqft.",Single-Family
"$308,160","Lenfant Sq Se, Washington, DC 20020",$1590/m Estimated Rental Value,3 bed,2 bath,"1,360 sqft.",Townhome
"$258,152","Cathedral Ave Nw # 26, Washington, DC 20016",$1650/m Estimated Rental Value,1 bed,1 bath,638 sqft.,Condo
"$291,272","Jay St Ne, Washington, DC 20019",$1620/m Estimated Rental Value,2 bed,1 bath,776 sqft.,Single-Family
"$369,487","Howard Rd Se, Washington, DC 20020",$1520/m Estimated Rental Value,2 bed,1 bath,768 sqft.,Townhome
"$693,020","D St Ne, Washington, DC 20002",$1750/m Estimated Rental Value,4 bed,3 bath,"1,156 sqft.",Townhome
,"New York Ave Nw, Washington, DC 20001",*Rental Value Coming Soon,,,0 sqft.,
"$545,000","C St Ne, Washington, DC 20002",$2400/m Estimated Rental Value,3 bed,1 bath,"1,224 sqft.",Single-Family
"$694,289","Half St Sw, Washington, DC 20024",$2560/m Estimated Rental Value,2 bed,2 bath,"1,280 sqft.",Single-Family
"$258,152","Cathedral Ave Nw # 26, Washington, DC 20016",$1650/m Estimated Rental Value,1 bed,1 bath,,Condo
,"New York Ave Nw, Washington, DC 20001",*Rental Value Coming Soon,,,,
"$693,020","D St Ne, Washington, DC 20002",$1750/m Estimated Rental Value,4 bed,2.5 bath,"1,156 sqft.",Single-Family
"$369,487","Howard Rd Se, Washington, DC 20020",$1520/m Estimated Rental Value,,,,Single-Family
"$340,729","Howard Rd Se, Washington, DC 20020",$1520/m Estimated Rental Value,,,,
"$693,020","D St Ne, Washington, DC 20002",$1750/m Estimated Rental Value,4 bed,2.5 bath,"1,156 sqft.",Single-Family
,"New Jersey Ave Se Apt 107, Washington, DC 20003",*Rental Value Coming Soon,,,,
"$308,160","Lenfant Sq Se, Washington, DC 20020",$1590/m Estimated Rental Value,3 bed,1.5 bath,"1,360 sqft.",Single-Family
"$693,020","D St Ne, Washington, DC 20002",$1750/m Estimated Rental Value,4 bed,2.5 bath,"1,156 sqft.",Single-Family
,"New York Ave Nw, Washington, DC 20001",*Rental Value Coming Soon,,,,
,"New York Ave Nw, Washington, DC 20001",*Rental Value Coming Soon,,,,
"$307,384","Eads St Ne, Washington, DC 20019",$1720/m Estimated Rental Value,3 bed,1.5 bath,787 sqft.,Single-Family
"$179,585","Oakwood St Se Apt B5, Washington, DC 20032",$1230/m Estimated Rental Value,,,,Condo
"$442,208","Blaine St Ne, Washington, DC 20019",$1420/m Estimated Rental Value,3 bed,1 bath,960 sqft.,Condo
"$486,455","Anacostia Rd Se, Washington, DC 20019",$1850/m Estimated Rental Value,4 bed,3 bath,"1,008 sqft.",Single-Family
,"Massachusetts Ave Nw, Washington, DC 20036",*Rental Value Coming Soon,,,,
"$325,000","Buchanan St Ne, Washington, DC 20017",$2370/m Estimated Rental Value,3 bed,2 bath,"1,240 sqft.",Single-Family
,"New Jersey Ave Se Apt 107, Washington, DC 20003",*Rental Value Coming Soon,,,,
"$179,585","Oakwood St Se Apt B5, Washington, DC 20032",$1230/m Estimated Rental Value,1 bed,1 bath,628 sqft.,
"$442,208","Blaine St Ne, Washington, DC 20019",$1420/m Estimated Rental Value,3 bed,1.5 bath,960 sqft.,Single-Family
"$780,865","Morse St Ne, Washington, DC 20002",$1880/m Estimated Rental Value,3 bed,2 bath,"1,836 sqft.",Townhome
"$665,000","Monroe St Nw, Washington, DC 20010",*Rental Value Coming Soon,2 bed,2 bath,,
"$593,528","16th St Nw Apt 305, Washington, DC 20009",$2610/m Estimated Rental Value,2 bed,1.5 bath,"1,158 sqft.",Condo
"$395,760","New York Ave Nw Apt 304, Washington, DC 20001",$1880/m Estimated Rental Value,1 bed,1 bath,,Condo
"$1,183,992","Connecticut Ave Nw, Washington, DC 20008",$5220/m Estimated Rental Value,,,,Multi-Family
"$265,000","Cathedral Ave Nw #e506, Washington, DC 20016",*Rental Value Coming Soon,1 bed,1 bath,,
,"Fort Lincoln Dr Ne, Washington, DC 20018",*Rental Value Coming Soon,,,,
"$498,612","47th St Ne, Washington, DC 20019",$2040/m Estimated Rental Value,5 bed,2 bath,"2,363 sqft.",Single-Family
,"14th St Sw # 118, Washington, DC 20227",*Rental Value Coming Soon,,,,
,"Georgia Ave Nw, Washington, DC 20010",*Rental Value Coming Soon,,,0 sqft.,
,"Georgia Ave Nw, Washington, DC 20010",*Rental Value Coming Soon,,,,
"$1,574,900","19th St Nw, Washington, DC 20036",$4960/m Estimated Rental Value,8 bed,6 bath,"2,515 sqft.",Single-Family
"$376,967","Douglas St Ne, Washington, DC 20019",$1920/m Estimated Rental Value,2 bed,2 bath,"1,307 sqft.",Single-Family
"$270,001","Cathedral Ave Nw # 23, Washington, DC 20016",$1670/m Estimated Rental Value,1 bed,1 bath,753 sqft.,Condo
"$683,263","8th St Nw, Washington, DC 20011",$2440/m Estimated Rental Value,3 bed,3 bath,"1,054 sqft.",Single-Family
"$1,007,781","28th St Nw, Washington, DC 20007",$3120/m Estimated Rental Value,2 bed,1 bath,844 sqft.,Townhome
,"New Hampshire Ave Nw, Washington, DC 20036",*Rental Value Coming Soon,8 bed,3 bath,"3,412 sqft.",Townhome
"$482,880","Savannah St Se, Washington, DC 20032",$1940/m Estimated Rental Value,4 bed,2 bath,"1,476 sqft.",Single-Family
"$408,262","55th St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,1 bath,"1,476 sqft.",Single-Family
"$642,000","Warner St Nw, Washington, DC 20001",$2910/m Estimated Rental Value,3 bed,2 bath,"1,279 sqft.",Multi-Family
"$384,987","54th St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,1 bath,"1,476 sqft.",Single-Family
"$550,588","57th St Ne, Washington, DC 20019",$1850/m Estimated Rental Value,6 bed,4.5 bath,0 sqft.,Single-Family
"$554,385","Pope St Se, Washington, DC 20020",$2140/m Estimated Rental Value,3 bed,1 bath,"1,653 sqft.",Single-Family
,"Macarthur Blvd Nw, Washington, DC 20016",*Rental Value Coming Soon,,,,Commercial
"$321,750","Jay St Ne, Washington, DC 20019",$1640/m Estimated Rental Value,4 bed,1 bath,948 sqft.,Single-Family
"$267,000","Mount View Pl Se, Washington, DC 20020",$1570/m Estimated Rental Value,4 bed,2 bath,"1,488 sqft.",Multi-Family
"$511,917","Division Ave Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,3 bath,"1,888 sqft.",Single-Family
"$544,500","Irving St Ne, Washington, DC 20017",$2500/m Estimated Rental Value,2 bed,2 bath,750 sqft.,Single-Family
"$192,127","W St Se Apt 302, Washington, DC 20020",$1470/m Estimated Rental Value,2 bed,1 bath,644 sqft.,Condo
"$348,084","C St Se, Washington, DC 20019",$1900/m Estimated Rental Value,2 bed,2 bath,"1,172 sqft.",Single-Family
"$218,015","Massachusetts Ave Nw U..., Washington, DC 20005",$1720/m Estimated Rental Value,,1 bath,310 sqft.,Condo
"$565,725","Queens Stroll Pl Se, Washington, DC 20019",$1760/m Estimated Rental Value,4 bed,4 bath,"2,890 sqft.",Single-Family
"$129,396","Chesapeake St Se # 206, Washington, DC 20032",$1398/m Estimated Rental Value,2 bed,1 bath,884 sqft.,Condo
"$316,800","Fort Davis St Se, Washington, DC 20020",$1560/m Estimated Rental Value,2 bed,1 bath,986 sqft.,Townhome
"$423,750","Martin Luther King Jr ..., Washington, DC 20032",$1490/m Estimated Rental Value,2 bed,3 bath,"1,152 sqft.",Townhome
"$437,337","Underwood St Nw, Washington, DC 20012",$2060/m Estimated Rental Value,2 bed,1 bath,832 sqft.,Single-Family
"$519,303","Kearny St Ne, Washington, DC 20018",$2680/m Estimated Rental Value,3 bed,2 bath,"1,640 sqft.",Single-Family
"$663,424","Neal St Ne, Washington, DC 20002",$1850/m Estimated Rental Value,3 bed,1 bath,"1,020 sqft.",Townhome
"$245,280","Wisconsin Ave Nw Apt 614, Washington, DC 20007",$1760/m Estimated Rental Value,1 bed,1 bath,439 sqft.,Condo
"$394,525","Dexter Ter Se, Washington, DC 20020",$1570/m Estimated Rental Value,2 bed,1 bath,900 sqft.,Townhome
"$503,058","4th St Ne Apt 1, Washington, DC 20002",$1920/m Estimated Rental Value,2 bed,2 bath,954 sqft.,Condo
"$639,000","K St Nw, Washington, DC 20001",$2770/m Estimated Rental Value,4 bed,3 bath,"1,360 sqft.",Multi-Family
"$651,892","Shepherd St Ne, Washington, DC 20017",$2230/m Estimated Rental Value,3 bed,1 bath,930 sqft.,Single-Family
"$492,001","P St Nw, Washington, DC 20036",$3470/m Estimated Rental Value,4 bed,4 bath,"3,202 sqft.",Multi-Family
,"R St Ne # A, Washington, DC 20002",*Rental Value Coming Soon,3 bed,4 bath,"1,484 sqft.",Condo
,"Woodcrest Dr Se, Washington, DC 20032",*Rental Value Coming Soon,3 bed,4 bath,"1,610 sqft.",Townhome
"$300,091","Texas Ave Se, Washington, DC 20019",$1530/m Estimated Rental Value,2 bed,1 bath,832 sqft.,Townhome
"$826,943","Emerald St Ne, Washington, DC 20002",$2660/m Estimated Rental Value,3 bed,2 bath,"1,324 sqft.",Townhome
"$405,900","Taylor St Ne, Washington, DC 20017",$2140/m Estimated Rental Value,3 bed,2 bath,"1,088 sqft.",Townhome
,"8th St Nw Apt 307, Washington, DC 20011",*Rental Value Coming Soon,,,,
"$852,300","12th St Nw, Washington, DC 20012",$3140/m Estimated Rental Value,3 bed,3 bath,"1,638 sqft.",Single-Family
,"H St Ne # 205, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$567,680","7th St Nw, Washington, DC 20011",$2500/m Estimated Rental Value,3 bed,1 bath,"1,080 sqft.",Single-Family
"$797,230","Madison St Nw, Washington, DC 20011",$2980/m Estimated Rental Value,3 bed,3 bath,"1,682 sqft.",Single-Family
"$797,230","Madison St Nw, Washington, DC 20011",$2980/m Estimated Rental Value,3 bed,2 bath,"1,682 sqft.",Single-Family
"$637,193","Longfellow St Nw, Washington, DC 20011",$2500/m Estimated Rental Value,,,,
"$797,230","Madison St Nw, Washington, DC 20011",$2980/m Estimated Rental Value,3 bed,2 bath,"1,682 sqft.",Single-Family
"$480,150","T Pl Se, Washington, DC 20020",$1620/m Estimated Rental Value,2 bed,2 bath,900 sqft.,Townhome
,"Falls Ter Se Apt 4, Washington, DC 20019",*Rental Value Coming Soon,,,,
"$395,000","Eastern Ave Ne, Washington, DC 20011",$2060/m Estimated Rental Value,3 bed,1 bath,"1,024 sqft.",Single-Family
"$1,138,500","Kenyon St Nw, Washington, DC 20010",$3360/m Estimated Rental Value,6 bed,3 bath,"3,456 sqft.",Single-Family
,"H St Ne # 849, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$309,771","49th St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,1 bath,"1,355 sqft.",Single-Family
"$82,080","Good Hope Rd Se Apt 207, Washington, DC 20020",$1450/m Estimated Rental Value,1 bed,1 bath,,Condo
,"7th St Ne, Washington, DC 20002",*Rental Value Coming Soon,,,,
,"7th St Ne, Washington, DC 20002",*Rental Value Coming Soon,,,,
,"7th St Ne, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$987,017","Pennsylvania Ave Se, Washington, DC 20003",*Rental Value Coming Soon,,1.5 bath,,Commercial
"$283,000","27th St Se, Washington, DC 20020",$2180/m Estimated Rental Value,,,,
,"Connecticut Ave Nw Ste..., Washington, DC 20015",*Rental Value Coming Soon,,,,
,"Overlook Way, Mills, WY 82604",*Rental Value Coming Soon,,,,
"$236,675","Salt Creek Hwy, Casper, WY 82601",$1010/m Estimated Rental Value,,,,
,"N Conwell St, Casper, WY 82601",*Rental Value Coming Soon,,,,
,"Bishop Rd, Casper, WY 82604",*Rental Value Coming Soon,,,,
"$202,288","Jasmine St, Casper, WY 82604",$1201/m Estimated Rental Value,3 bed,1 bath,"1,108 sqft.",Single-Family
"$168,191","Frances St, Casper, WY 82601",$750/m Estimated Rental Value,3 bed,2 bath,"1,272 sqft.",Single-Family
,"Overlook Way, Mills, WY 82604",*Rental Value Coming Soon,,,,Single-Family
"$174,973","S Jackson St, Casper, WY 82601",$1010/m Estimated Rental Value,,2 bath,"2,633 sqft.",Single-Family
"$189,525","S Boxelder St, Casper, WY 82604",$1251/m Estimated Rental Value,,2 bath,"1,008 sqft.",Mobile Home
"$197,548","Sagewood Ave, Casper, WY 82601",$860/m Estimated Rental Value,2 bed,2 bath,"1,064 sqft.",Single-Family
"$392,219","Kingsbury Dr, Casper, WY 82609",$1490/m Estimated Rental Value,4 bed,2 bath,"2,563 sqft.",Single-Family
"$165,666","Fremont Ave, Casper, WY 82604",$1201/m Estimated Rental Value,,1 bath,904 sqft.,Single-Family
"$201,559","W Coffman Ave, Casper, WY 82604",$952/m Estimated Rental Value,,,,
"$235,440","E 7th St, Casper, WY 82601",$1230/m Estimated Rental Value,,2 bath,"2,700 sqft.",Single-Family
"$936,547","W Poison Spider Rd, Casper, WY 82604",$1820/m Estimated Rental Value,,,,
"$217,055","Cascade Ave, Casper, WY 82604",$1201/m Estimated Rental Value,3 bed,1 bath,"1,170 sqft.",Single-Family
,"Pershing St, Casper, WY 82601",*Rental Value Coming Soon,,,,Single-Family
,"Red Wolf Dr, Casper, WY 82604",*Rental Value Coming Soon,,,,
"$178,163","N Lowell St, Casper, WY 82601",$1010/m Estimated Rental Value,3 bed,1 bath,"1,135 sqft.",Single-Family
"$360,635","Saker Ct, Casper, WY 82601",$1010/m Estimated Rental Value,,,,Townhome
"$242,417","E 15th St, Casper, WY 82601",$890/m Estimated Rental Value,,,,
"$276,501","E 22nd St, Casper, WY 82601",$1201/m Estimated Rental Value,,2 bath,"1,820 sqft.",Single-Family
"$242,789","S Forest Dr, Casper, WY 82609",$1110/m Estimated Rental Value,,2 bath,"1,040 sqft.",Single-Family
"$116,000","Custer Ave, Casper, WY 82604",$810/m Estimated Rental Value,2 bed,1 bath,904 sqft.,Single-Family
"$220,502","Lark St, Casper, WY 82609",$973/m Estimated Rental Value,,1 bath,"1,160 sqft.",Single-Family
