Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type,Street,City,State Label,Zip Code
295538,"Michigan Ave, Warwick, RI 02888",1291,3,1,960,SF,Michigan Ave,Warwick,RI,2888
372967,"Salem St, Coventry, RI 02816",1610,3,1.5,1560,SF,Salem St,Coventry,RI,2816
421956,"Hawthorne Ave, Cranston, RI 02910",1680,4,1.5,1853,SF,Hawthorne Ave,Cranston,RI,2910
442800,"Linda Rd, Tiverton, RI 02878",1790,2,2.5,1592,SF,Linda Rd,Tiverton,RI,2878
305404,"Winter Ave, Warwick, RI 02889",1490,3,2,748,SF,Winter Ave,Warwick,RI,2889
794229,"Hurst Ln, Tiverton, RI 02878",2340,4,3.5,2816,SF,Hurst Ln,Tiverton,RI,2878
292267,"Top St, Westerly, RI 02891",,3,1.5,1118,SF,Top St,Westerly,RI,2891
475200,"Hillwood St, Cranston, RI 02920",1620,4,2,1800,SF,Hillwood St,Cranston,RI,2920
258230,"Olney Ave, North Providence, RI 02911",1450,2,1,1326,SF,Olney Ave,North Providence,RI,2911
913665,"Hargraves Dr, Portsmouth, RI 02871",3120,4,3.5,3405,SF,Hargraves Dr,Portsmouth,RI,2871
366339,"Paulette Dr, Coventry, RI 02816",1580,3,1,1200,SF,Paulette Dr,Coventry,RI,2816
406393,"Barnold St, West Warwick, RI 02893",1480,3,1.5,1530,SF,Barnold St,West Warwick,RI,2893
380416,"Bonaparte St, North Providence, RI 02904",1630,4,2,1152,SF,Bonaparte St,North Providence,RI,2904
394710,"Eliot Rd, Cranston, RI 02910",1550,3,1.5,1318,SF,Eliot Rd,Cranston,RI,2910
284922,"Pershing Rd, Johnston, RI 02919",1810,3,1,816,SF,Pershing Rd,Johnston,RI,2919
425394,"Chase Rd, Portsmouth, RI 02871",1860,3,1,950,SF,Chase Rd,Portsmouth,RI,2871
244545,"Berkley St, Providence, RI 02908",,6,3,2907,MF,Berkley St,Providence,RI,2908
324762,"Darrow Dr, Warwick, RI 02886",1730,3,2,1666,SF,Darrow Dr,Warwick,RI,2886
242335,"Thomas Ave, Pawtucket, RI 02860",,6,2,2340,MF,Thomas Ave,Pawtucket,RI,2860
212926,"Oakdale Ave, Pawtucket, RI 02860",,4,1.5,1324,SF,Oakdale Ave,Pawtucket,RI,2860
399745,"Douglas Cir, Greenville, RI 02828",1730,3,1,960,SF,Douglas Cir,Greenville,RI,2828
293616,"Phillip Ave, Cumberland, RI 02864",1710,3,2,928,SF,Phillip Ave,Cumberland,RI,2864
256870,"Corinth St, Providence, RI 02907",,6,3,3210,MF,Corinth St,Providence,RI,2907
292887,"Sefton Ave, Warwick, RI 02889",1430,3,1,1008,SF,Sefton Ave,Warwick,RI,2889
464532,"Walker Ln, Coventry, RI 02816",1740,3,2,1144,SF,Walker Ln,Coventry,RI,2816
260525,"N View Ave, Cranston, RI 02920",1570,3,2,1160,SF,N View Ave,Cranston,RI,2920
374148,"Bracken St, Cranston, RI 02920",1440,4,1,1248,SF,Bracken St,Cranston,RI,2920
507889,"Lakeview Ave, Lincoln, RI 02865",1930,3,2,1328,SF,Lakeview Ave,Lincoln,RI,2865
348215,"Nursery Ave, Woonsocket, RI 02895",1230,3,1,1152,SF,Nursery Ave,Woonsocket,RI,2895
260620,"Edgemere Ave, Providence, RI 02909",,4,2.5,1328,SF,Edgemere Ave,Providence,RI,2909
324275,"Potomac Rd, Portsmouth, RI 02871",1900,3,2,1030,SF,Potomac Rd,Portsmouth,RI,2871
256143,"Judson St, Tiverton, RI 02878",1211,2,1,916,SF,Judson St,Tiverton,RI,2878
308345,"Bertenshaw Rd, Woonsocket, RI 02895",1160,4,2,1512,SF,Bertenshaw Rd,Woonsocket,RI,2895
301940,"Leading St, Johnston, RI 02919",1660,1,1,684,SF,Leading St,Johnston,RI,2919
326900,"Hanton Rd, North Smithfield, RI 02896",1261,4,2,1753,MF,Hanton Rd,North Smithfield,RI,2896
422960,"Primrose St, Providence, RI 02909",,6,3,3644,MF,Primrose St,Providence,RI,2909
208760,"Loveday St, Providence, RI 02908",,6,2,1827,MF,Loveday St,Providence,RI,2908
189000,"Tiogue Ave, Coventry, RI 02816",1670,3,1,1150,SF,Tiogue Ave,Coventry,RI,2816
333509,"Troy Ave, Warwick, RI 02889",1710,3,1.5,1560,SF,Troy Ave,Warwick,RI,2889
69900,"Hallville Rd, Exeter, RI 02822",,2,1,943,SF,Hallville Rd,Exeter,RI,2822
291338,"Fletcher Ave, Cranston, RI 02920",1388,3,2,1125,SF,Fletcher Ave,Cranston,RI,2920
429942,"Marine Ave, Warwick, RI 02888",1720,3,2,1080,SF,Marine Ave,Warwick,RI,2888
324781,"Scott Rd, Cumberland, RI 02864",1690,3,2,1020,SF,Scott Rd,Cumberland,RI,2864
423559,"Irons Ave, Johnston, RI 02919",1650,3,2,1552,SF,Irons Ave,Johnston,RI,2919
420985,"Stella Dr, North Providence, RI 02911",1650,3,2,1816,SF,Stella Dr,North Providence,RI,2911
343460,"Hoxsie Ave, Warwick, RI 02889",1420,3,2,1128,SF,Hoxsie Ave,Warwick,RI,2889
492607,"New Hampshire Ave, Barrington, RI 02806",2220,3,2,1488,SF,New Hampshire Ave,Barrington,RI,2806
362791,"Susan Ave, Johnston, RI 02919",1640,2,1,1352,SF,Susan Ave,Johnston,RI,2919
206097,"Atwood Ave, Pawtucket, RI 02860",,3,1,1009,SF,Atwood Ave,Pawtucket,RI,2860
885666,"Post Rd, Warwick, RI 02888",3110,7,3.5,6746,SF,Post Rd,Warwick,RI,2888
244885,"Herschel St, Providence, RI 02909",,3,1,2058,SF,Herschel St,Providence,RI,2909
323001,"Twin Lakes Ave, Coventry, RI 02816",1281,3,1.5,832,SF,Twin Lakes Ave,Coventry,RI,2816
389107,"Scranton Ave, Warwick, RI 02888",1600,3,2,872,SF,Scranton Ave,Warwick,RI,2888
370676,"Rosedale Dr, Bristol, RI 02809",1570,3,1,1080,SF,Rosedale Dr,Bristol,RI,2809
464391,"Carol Ann Dr, North Providence, RI 02911",1650,3,2,1584,SF,Carol Ann Dr,North Providence,RI,2911
439000,"Weston Ave, Cranston, RI 02920",1950,4,2,2378,MF,Weston Ave,Cranston,RI,2920
383870,"Branch Ave, Cumberland, RI 02864",1770,3,2.5,1176,SF,Branch Ave,Cumberland,RI,2864
282400,"Jeffers St, Woonsocket, RI 02895",1388,5,2,1794,MF,Jeffers St,Woonsocket,RI,2895
280000,"Orms St, Providence, RI 02908",1910,9,3,5078,MF,Orms St,Providence,RI,2908
189922,"Ruth St, Pawtucket, RI 02861",,2,1,876,SF,Ruth St,Pawtucket,RI,2861
485475,"Spruce St, Barrington, RI 02806",2040,3,1.5,1064,SF,Spruce St,Barrington,RI,2806
334642,"Easton Ave, Warwick, RI 02888",1420,3,1,1066,SF,Easton Ave,Warwick,RI,2888
369350,"Talbot St, North Providence, RI 02904",1630,3,2.5,1144,SF,Talbot St,North Providence,RI,2904
263600,"Follett St, East Providence, RI 02914",1151,4,2,1584,MF,Follett St,East Providence,RI,2914
326141,"King St, Johnston, RI 02919",1640,2,1,1277,SF,King St,Johnston,RI,2919
264350,"Bellevue Ave, North Providence, RI 02911",1600,5,3,1980,MF,Bellevue Ave,North Providence,RI,2911
388837,"Burdick Dr, Cranston, RI 02920",1830,3,2,1296,SF,Burdick Dr,Cranston,RI,2920
408201,"Highland Ave, Cumberland, RI 02864",1830,3,1.5,1104,SF,Highland Ave,Cumberland,RI,2864
686830,"Roosevelt Dr, Bristol, RI 02809",1980,4,2,1848,SF,Roosevelt Dr,Bristol,RI,2809
493468,"Barbaras Way, Lincoln, RI 02865",1960,3,2,1242,SF,Barbaras Way,Lincoln,RI,2865
321831,"Ridgeway Ave, Warwick, RI 02889",1408,3,1,1134,SF,Ridgeway Ave,Warwick,RI,2889
243000,"Andrews Ave, West Warwick, RI 02893",1540,5,3,2688,MF,Andrews Ave,West Warwick,RI,2893
587626,"Lonsdale St, West Warwick, RI 02893",1820,3,2.5,1560,SF,Lonsdale St,West Warwick,RI,2893
445566,"Kilburn Ave, Lincoln, RI 02865",1940,3,3,1896,SF,Kilburn Ave,Lincoln,RI,2865
505433,"Cardinal Dr, North Kingstown, RI 02852",1080,2,2,1166,CONDO,Cardinal Dr,North Kingstown,RI,2852
384386,"Archdale Dr, Warwick, RI 02889",1650,3,1,1380,SF,Archdale Dr,Warwick,RI,2889
306130,"Greenville Ave, Greenville, RI 02828",1650,1,1,932,SF,Greenville Ave,Greenville,RI,2828
290000,"Pequot Ave, Warwick, RI 02889",1530,3,2,1858,SF,Pequot Ave,Warwick,RI,2889
198088,"Glen Meadows Dr, Pawtucket, RI 02861",,3,1,936,SF,Glen Meadows Dr,Pawtucket,RI,2861
415254,"Eagle Rd, Cranston, RI 02920",1920,3,1,1392,SF,Eagle Rd,Cranston,RI,2920
349235,"Hardwick St, Warwick, RI 02889",1570,3,1,1044,SF,Hardwick St,Warwick,RI,2889
327511,"Gerald St, Riverside, RI 02915",1690,4,1.5,1266,SF,Gerald St,Riverside,RI,2915
318121,"Red House Rd, South Kingstown, RI 02879",1201,1,1,448,SF,Red House Rd,South Kingstown,RI,2879
282635,"Plainfield Pike, Coventry, RI 02827",1470,2,1,1020,SF,Plainfield Pike,Coventry,RI,2827
374529,"Kulas Rd, West Warwick, RI 02893",1730,3,1,960,SF,Kulas Rd,West Warwick,RI,2893
149175,"Camden Ave, Providence, RI 02908",,3,1.5,1040,SF,Camden Ave,Providence,RI,2908
419400,"Whitney St, Providence, RI 02907",1770,8,2,2990,MF,Whitney St,Providence,RI,2907
245310,"Power Rd, Pawtucket, RI 02860",,2,1,1612,SF,Power Rd,Pawtucket,RI,2860
338200,"Foster St, Woonsocket, RI 02895",1181,4,2.5,1350,MF,Foster St,Woonsocket,RI,2895
417511,"Kenneth Ave, Portsmouth, RI 02871",1750,3,1,936,SF,Kenneth Ave,Portsmouth,RI,2871
352829,"Tiffany Ave, West Warwick, RI 02893",1420,2,1.5,774,SF,Tiffany Ave,West Warwick,RI,2893
376747,"Park View Blvd, Cranston, RI 02910",1580,4,2,1267,SF,Park View Blvd,Cranston,RI,2910
409670,"Highland Ave, Cumberland, RI 02864",1890,3,1,1488,SF,Highland Ave,Cumberland,RI,2864
407686,"Plantation St, Warwick, RI 02886",1600,3,1.5,1296,SF,Plantation St,Warwick,RI,2886
240945,"Grotto Ave, Pawtucket, RI 02860",,3,1,1440,SF,Grotto Ave,Pawtucket,RI,2860
170935,"Linwood Ave, Providence, RI 02907",,3,1,1674,SF,Linwood Ave,Providence,RI,2907
259675,"Mongenais St, Providence, RI 02909",,6,3,2684,MF,Mongenais St,Providence,RI,2909
697201,"Washington Dr, Johnston, RI 02919",2150,4,2.5,2947,SF,Washington Dr,Johnston,RI,2919
697950,"Shawomet Ave, Warwick, RI 02889",2210,5,2.5,2315,SF,Shawomet Ave,Warwick,RI,2889
346700,"Mendon Rd, Woonsocket, RI 02895",1640,6,2,2450,MF,Mendon Rd,Woonsocket,RI,2895
